BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,BrewMethod
312,Red November,Irish Red Ale,22.71,1.054,1.015,5.22,26.43,18.3,29.34,60,1.042,71,All Grain
39940,Leitch Christmas Brew 2015,Irish Red Ale,22.71,1.047,1.012,4.54,27.8,17.44,29.53,90,1.036,70,BIAB
8548,Dunkel Ale,Irish Pale Ale,22.71,1.052,1.013,5.1,28.63,12.98,30.28,60,1.039,80,All Grain
18239,Patersbier,Irish Pale Ale,22.71,1.039,1.009,4,0,2.51,30.28,90,1.03,80,All Grain
2246,Irish Red,Irish Red Ale,22.71,1.057,1.012,5.79,25.08,16.32,30.28,90,1.042,78,All Grain
4344,Belgian Pale Ale,Irish Pale Ale,22.71,1.051,1.012,5.14,19.38,7.49,30.28,60,1.038,75,BIAB
9732,Rapture Red,Irish Red Ale,22.71,1.057,1.016,5.33,22.65,17.49,30.28,60,1.043,75,All Grain
31169,Dry stout byo (ds2),Irish Dry Stout,22.71,1.056,1.015,5.33,54.15,47.64,30.28,60,1.042,75,All Grain
14185,Irish Cream Ale,Irish Cream Ale,22.71,1.054,1.012,5.44,19.42,2.97,30.28,60,1.04,75,BIAB
24926,Franks Vienna,Irish Lager,22.71,1.051,1.009,5.48,28.6,12.69,30.28,60,1.038,75,BIAB
9342,(2016-05-02) Vienna Lager,Irish Lager,22.71,1.052,1.008,5.74,28.04,13.46,30.28,75,1.039,75,All Grain
8781,Flogging Molly Irish Pale,Irish Red Ale,22.71,1.058,1.017,5.41,25.1,8.98,30.28,90,1.044,75,All Grain
47622,SubHoptimAle,Irish Cream Ale,22.71,1.055,1.012,5.66,34.34,3.12,30.28,90,1.041,75,All Grain
866,Cram Ale,Irish Cream Ale,22.71,1.055,1.009,5.99,24.82,3.12,30.28,90,1.041,75,All Grain
572,Kiwanda Irish Cream Ale,Irish Cream Ale,22.71,1.048,1.008,5.21,16.67,3.08,30.28,90,1.03,72,All Grain
46003,Tuborg Classic,Irish Lager,22.71,1.051,1.011,5.15,24.81,5.98,30.28,60,1.038,70,BIAB
53605,Saison,Irish Pale Ale,22.71,1.052,1.008,5.73,24.55,3.5,30.28,60,1.039,70,All Grain
44967,Table Saison,Irish Pale Ale,22.71,1.041,1.009,4.15,46.23,2.99,30.28,90,1.031,70,All Grain
24494,Pelican Style Pre Prohibition Irish Cream Ale,Irish Cream Ale,22.71,1.048,1.011,4.89,25.17,3.56,30.28,90,1.036,70,All Grain
